DATE,regime,prob_r0,prob_r1,prob_r2,prob_r3,prob_r4,prob_r5
1959-01-01,5,0.08922531391883931,0.13770521058922328,0.18892715127140208,0.12818355408447463,0.17973756702741348,0.2762212031086472
1959-02-01,5,0.31139106573221526,0.10790397491383649,0.13855276147055023,0.1103498292156012,0.1412125148743822,0.1905898537934147
1959-03-01,5,0.35360236271086526,0.10868096598148529,0.1265577466669469,0.10445284672146493,0.13703709778401424,0.1696689801352233
1959-04-01,5,0.38366031427286346,0.10227138748933674,0.12215382728912236,0.10160223315018886,0.1339735426664652,0.15633869513202353
1959-05-01,5,0.3295486637840197,0.11041482243930816,0.12715382227589303,0.11003789679542228,0.14607776652715504,0.17676702817820186
1959-06-01,5,0.28064975908214584,0.14022522115433894,0.1328222657205542,0.12379516201008857,0.15613249656290987,0.16637509546996268
1959-07-01,1,0.48889580711017255,0.11249858693207794,0.09891375160929587,0.1003448454814565,0.10114653748247707,0.09820047138452011
1959-08-01,0,0.5095273765298953,0.10621135788282053,0.09592235231883807,0.10008872159103817,0.09511712279172972,0.09313306888567811
1959-09-01,4,0.3284838358226961,0.1260305430222462,0.11790973534896139,0.11623670086378945,0.1573616725276802,0.15397751241462673
1959-10-01,1,0.3253738818655643,0.1618051650323639,0.1283011394493849,0.13146560812243566,0.12192488482167257,0.13112932070857874
1959-11-01,5,0.4090082567747752,0.1106180688922298,0.11725561434855664,0.10721232638352764,0.11790276917093759,0.13800296442997323
1959-12-01,0,0.5095227544313851,0.09110360232086222,0.09865625643411406,0.09241277470197681,0.10151873767070918,0.10678587444095258
1960-01-01,5,0.48865853303114754,0.09376037517279506,0.10149762576654937,0.09522982645347888,0.10115485144101839,0.11969878813501081
1960-02-01,5,0.41996427464118097,0.12370881805409217,0.11342745013766602,0.10889318050629371,0.10591999246337691,0.12808628419739027
1960-03-01,0,0.502731719185522,0.10766510586652153,0.09742155364473644,0.10248731919680526,0.08928298744855061,0.10041131465786433
1960-04-01,1,0.4843818658558414,0.10918514076186923,0.09899657264772588,0.10344328177626565,0.0986358029371603,0.10535733602113752
1960-05-01,1,0.45246339542886427,0.12153194615673323,0.10207796124928298,0.1147114980721169,0.1006098901858758,0.10860530890712693
1960-06-01,1,0.4549115877656986,0.12788745368471863,0.10609144138244683,0.1184296498904884,0.08944740169482175,0.10323246558182585
1960-07-01,1,0.39883454985752925,0.13152242699356145,0.1189831965665426,0.1272694674973914,0.10078573950936139,0.12260461957561382
1960-08-01,1,0.29230361175035685,0.16457965256937493,0.13755459326975425,0.14430688404359415,0.11426734861026347,0.14698790975665624
1960-09-01,3,0.3707309255839436,0.13406422251655556,0.11235263686872442,0.14750760730848633,0.10803954489360135,0.12730506282868898
