date,ic,regime
2004-01-01,0.0303030303030303,1
2004-02-01,-0.4666666666666666,1
2004-03-01,-0.006060606060606061,1
2004-04-01,-0.2606060606060606,5
2004-05-01,0.5151515151515151,5
2004-06-01,-0.2121212121212121,5
2004-07-01,0.0303030303030303,1
2004-08-01,0.28484848484848485,1
2004-09-01,-0.35757575757575755,1
2004-10-01,-0.49090909090909085,1
2004-11-01,0.2606060606060606,5
2004-12-01,0.12727272727272726,5
2005-01-01,-0.41818181818181815,1
2005-02-01,0.38181818181818183,1
2005-03-01,0.0303030303030303,5
2005-04-01,-0.17575757575757575,1
2005-05-01,-0.01818181818181818,5
2005-06-01,0.04242424242424241,1
2005-07-01,0.5515151515151515,1
2005-08-01,0.406060606060606,5
2005-09-01,0.5393939393939393,0
2005-10-01,0.6121212121212121,0
2005-11-01,0.38181818181818183,5
2005-12-01,-0.07878787878787878,1
2006-01-01,0.7212121212121211,1
2006-02-01,0.23636363636363633,5
2006-03-01,-0.11515151515151514,5
2006-04-01,0.2606060606060606,5
2006-05-01,-0.18787878787878787,5
2006-06-01,-0.8303030303030302,5
2006-07-01,-0.4424242424242424,1
2006-08-01,0.3696969696969697,3
2006-09-01,0.7939393939393938,3
2006-10-01,-0.16363636363636364,3
2006-11-01,0.6727272727272726,0
2006-12-01,-0.5030303030303029,1
2007-01-01,-0.32121212121212117,3
2007-02-01,0.19999999999999998,3
2007-03-01,-0.06666666666666665,3
2007-04-01,-0.28484848484848485,3
2007-05-01,-0.6727272727272726,3
2007-06-01,-0.9030303030303028,3
2007-07-01,-0.5515151515151515,3
2007-08-01,0.6969696969696969,3
2007-09-01,-0.006060606060606061,3
2007-10-01,0.10303030303030303,3
2007-11-01,0.6,3
2007-12-01,-0.7454545454545454,3
2008-01-01,-0.2727272727272727,3
2008-02-01,-0.11515151515151514,0
2008-03-01,0.01818181818181818,0
2008-04-01,-0.06666666666666665,2
2008-05-01,0.49090909090909085,2
2008-06-01,0.7454545454545454,2
2008-07-01,-0.38181818181818183,2
2008-08-01,0.11515151515151514,0
2008-09-01,0.23636363636363633,0
2008-10-01,0.5393939393939393,0
2008-11-01,-0.07878787878787878,0
2008-12-01,-0.38181818181818183,0
