regime,regime_label,mean_ic,std_ic,count,pct_positive
0,Economic Difficulty,0.05129342202512934,0.4296854870645037,41,0.4634146341463415
1,Economic Recovery,-0.11111111111111112,0.42180845112150245,21,0.42857142857142855
2,Expansionary Growth,-0.00618181818181819,0.41396200302069225,100,0.46
3,Stagflationary Pressure,0.046991655687307836,0.46272356782621793,69,0.5217391304347826
4,Pre-Recession Transition,0.1939393939393939,0.3939393939393939,2,0.5
5,Reflationary Boom,0.11780303030303027,0.39945709684798714,32,0.59375
